# weight      mu1      mu2       k1       k2       k3 lognormc    env_K  env1_mu  env2_mu   env1_k   env2_k   env1_w   env2_w 
  0.0014  -1.6539   0.3827  84.2210  79.3867   9.6553 151.5241  -0.0016   0.0000  -0.0000  68.5657  68.5657   0.5000   0.5000 
  0.0035  -2.0280   2.2771 137.5967 120.0304  15.2054 239.5407  -0.0010   0.0000  -0.0000 103.0176 103.0176   0.5000   0.5000 
  0.0136  -1.0957  -0.7279 367.6315 318.7878 103.1329 579.7507   0.0006   0.0000  -0.0000 175.9300 175.9300   0.5000   0.5000 
  0.0011   1.3746   0.2937 157.8661 143.8361  37.9887 260.8879  -0.0005   0.0000  -0.0000  94.1313  94.1313   0.5000   0.5000 
  0.0035  -1.2087   2.4169 149.1779 105.1266  12.8420 238.5889  -0.0009   0.0000  -0.0000  91.1345  91.1345   0.5000   0.5000 
  0.0005   2.3848  -3.0717  69.3823  49.1430  18.6886  98.1264   0.0026   0.0000  -0.0000  24.0778  24.0778   0.5000   0.5000 
  0.0014  -2.7646   2.4267 111.9500 127.7252  34.2266 202.9282  -0.0004   0.0000  -0.0000  78.9464  78.9464   0.5000   0.5000 
  0.0031  -1.5851  -0.1203  93.1932 135.1908  12.8284 212.8073  -0.0015   0.0000  -0.0000 120.4181 120.4181   0.5000   0.5000 
  0.0038  -2.2319   2.7106 115.2303 136.6838   4.8236 244.1383  -0.0011   0.0000  -0.0000 131.6731 131.6731   0.5000   0.5000 
  0.0023  -1.4504   2.0819 154.4048  93.9753  11.6353 233.9045  -0.0008   0.0000  -0.0000  81.4425  81.4425   0.5000   0.5000 
  0.0005   0.9679  -2.1760 119.0475 130.8769  16.8977 230.1976  -0.0012   0.0000  -0.0000 111.2973 111.2973   0.5000   0.5000 
  0.0019   0.9514   0.6625 412.5782 266.5117 125.8453 550.0234   0.0037   0.0000  -0.0000  86.3744  86.3744   0.5000   0.5000 
