# weight      mu1      mu2       k1       k2       k3 lognormc    env_K  env1_mu  env2_mu   env1_k   env2_k   env1_w   env2_w 
  0.0009  -3.0105   2.2217   2.9907   6.8700   0.4790   9.9166   0.0004   0.0000  -0.0000   6.4381   6.4381   0.5000   0.5000 
  0.0048  -1.4850   3.1239  38.4659  31.1834  -3.4273  71.2862  -0.0030   0.0000  -0.0000  34.2963  34.2963   0.5000   0.5000 
  0.0036  -2.2236   1.6250  43.3245  39.5820  12.8662  68.6363   0.0010   0.0000  -0.0000  21.8214  21.8214   0.5000   0.5000 
  0.0236  -1.0021  -0.8349 105.2489 116.7845  12.2951 206.9956  -0.0013   0.0000  -0.0000 102.9483 102.9483   0.5000   0.5000 
  0.0550  -1.1251  -0.7031 290.2342 250.7588  77.0140 460.6433   0.0006   0.0000  -0.0000 146.3586 146.3586   0.5000   0.5000 
  0.0058  -2.4115   2.1777  56.4320  56.5672   5.5372 105.3789  -0.0024   0.0000  -0.0000  50.4949  50.4949   0.5000   0.5000 
  0.0130  -1.1287   2.6035  83.8111  86.6203   7.5655 160.3593  -0.0016   0.0000  -0.0000  78.3646  78.3646   0.5000   0.5000 
  0.0114  -2.3615   2.3817 104.7394  98.4171  25.3429 175.3778  -0.0008   0.0000  -0.0000  65.3033  65.3033   0.5000   0.5000 
  0.0070  -2.0380   0.3959  44.4472  38.6648  12.9876  68.7268   0.0014   0.0000  -0.0000  20.8518  20.8518   0.5000   0.5000 
  0.0084  -2.7088   2.9612  36.4545  46.4075   5.7506  75.4034  -0.0039   0.0000  -0.0000  39.7097  39.7097   0.5000   0.5000 
  0.0140  -1.9888   2.3072  49.8199  78.3050  -1.8603 127.6630  -0.0024   0.0000  -0.0000  80.0814  80.0814   0.5000   0.5000 
  0.0025  -2.0519  -0.9696  11.6243  18.3270  -1.0758  30.1316  -0.0102   0.0000  -0.0000  19.2747  19.2747   0.5000   0.5000 
  0.0019   2.7413  -3.0481   6.7088   7.6149  -1.7641  15.7923   0.0007   0.0000  -0.0000   8.9382   8.9382   0.5000   0.5000 
  0.0251  -1.1380  -0.3421 263.9096 199.5376  84.6411 375.8852   0.0036   0.0000  -0.0000  75.8466  75.8466   0.5000   0.5000 
  0.0069   1.4452   0.1218  43.3758  52.9241   8.6310  85.8664  -0.0032   0.0000  -0.0000  42.3429  42.3429   0.5000   0.5000 
  0.0035   1.7447   2.9094   8.2297   3.1953  -0.5270  12.1118   0.0006   0.0000  -0.0000   3.6652   3.6652   0.5000   0.5000 
  0.0149  -1.5230   2.1985  40.6114  37.8142 -11.5962  87.9646  -0.0022   0.0000  -0.0000  46.7644  46.7644   0.5000   0.5000 
  0.0131  -1.5547   1.9275  45.0501  36.1598   7.2396  72.3391  -0.0027   0.0000  -0.0000  27.6824  27.6824   0.5000   0.5000 
  0.0039  -1.9500  -0.4775  73.2013  61.0354  26.5357 106.1039   0.0146   0.0000  -0.0000  20.7086  20.7086   0.5000   0.5000 
  0.0017   1.0155   1.0994  27.8096   2.7893  -2.5048  32.4556  -0.0022   0.0000  -0.0000   5.0674   5.0674   0.5000   0.5000 
  0.0011  -2.3617  -2.7851  11.8248  13.4945   1.7691  23.0353  -0.0123   0.0000  -0.0000  11.5346  11.5346   0.5000   0.5000 
  0.0077  -1.6551  -0.4082  70.1827  91.1573  22.5148 136.7000  -0.0011   0.0000  -0.0000  58.5447  58.5447   0.5000   0.5000 
  0.0546  -1.1072  -0.7491 280.1487 207.3076  46.6014 437.4562   0.0001   0.0000  -0.0000 151.5696 151.5696   0.5000   0.5000 
  0.0071  -1.3718   2.9291  57.2998  52.6904  -1.8349 109.6288  -0.0021   0.0000  -0.0000  54.4538  54.4538   0.5000   0.5000 
  0.0061  -1.9557   0.1804  68.5315  44.6488   9.3437 101.8774  -0.0017   0.0000  -0.0000  33.9511  33.9511   0.5000   0.5000 
  0.0008  -2.6361   0.9743   5.6999   4.6168  -2.2369  12.4861   0.0023   0.0000  -0.0000   6.1428   6.1428   0.5000   0.5000 
  0.0099  -2.6704   2.4740  66.9637  54.7911  14.5996 105.2221  -0.0012   0.0000  -0.0000  36.3874  36.3874   0.5000   0.5000 
  0.0635  -1.0629  -0.7708 459.9234 460.9074 149.9729 767.0893   0.0007   0.0000  -0.0000 239.0639 239.0639   0.5000   0.5000 
  0.0091  -1.5990   2.7036  37.5996  41.0640  -1.4739  78.2746  -0.0032   0.0000  -0.0000  42.4648  42.4648   0.5000   0.5000 
  0.0007   1.2913  -0.9779  59.8127  23.4495   1.9236  79.6218  -0.0021   0.0000  -0.0000  21.4807  21.4807   0.5000   0.5000 
  0.0115  -2.3501   2.7865  67.0045  80.5047   9.7918 135.4177  -0.0021   0.0000  -0.0000  69.1535  69.1535   0.5000   0.5000 
  0.0029  -1.6731  -2.6263  13.1022   8.0936   4.4739  17.0897   0.0936   0.0000  -0.0000   2.5660   2.5660   0.5000   0.5000 
  0.0019  -2.4677  -0.5719   1.3807   5.5571  -1.1059   8.6184   0.0006   0.0000  -0.0000   6.0325   6.0325   0.5000   0.5000 
  0.0179  -2.1597   2.1876  57.1548  90.0871   6.5944 138.3201  -0.0025   0.0000  -0.0000  82.7129  82.7129   0.5000   0.5000 
  0.0111  -1.4245  -0.2467  62.3329  88.2098  11.1098 137.1490  -0.0023   0.0000  -0.0000  74.8454  74.8454   0.5000   0.5000 
  0.0052   1.2112   0.4549  98.5076 106.1632  38.0549 164.4974   0.0048   0.0000  -0.0000  45.3563  45.3563   0.5000   0.5000 
  0.0374  -1.0843  -0.5893 155.6683  85.0449   8.0760 229.8113  -0.0008   0.0000  -0.0000  76.5591  76.5591   0.5000   0.5000 
  0.0034  -2.2707   1.2621  78.2582  24.5112  -1.3030 102.1037  -0.0016   0.0000  -0.0000  25.7852  25.7852   0.5000   0.5000 
  0.0078  -1.0567   2.3380  18.5956  12.3176   2.0129  28.1959  -0.0070   0.0000  -0.0000  10.1429  10.1429   0.5000   0.5000 
  0.0022   0.9917  -2.2380  70.4637  45.4666   1.3888 112.3737  -0.0018   0.0000  -0.0000  44.0605  44.0605   0.5000   0.5000 
  0.0026   1.9539  -2.2436   5.5663   7.2303   3.1451  10.6249   0.0931   0.0000  -0.0000   3.0407   3.0407   0.5000   0.5000 
  0.0090  -1.3140   2.1086  53.2903  58.2448  -0.3940 109.7444  -0.0024   0.0000  -0.0000  58.6324  58.6324   0.5000   0.5000 
  0.0129  -1.1136  -0.9065  32.6148  42.3651   7.1637  66.2897  -0.0043   0.0000  -0.0000  33.4136  33.4136   0.5000   0.5000 
  0.0146  -2.1883   2.3981  79.2874  86.2513  10.4271 152.6826  -0.0017   0.0000  -0.0000  74.3462  74.3462   0.5000   0.5000 
  0.0015   1.8984  -0.2899   8.3426   9.4556   1.4133  16.2571   0.0014   0.0000  -0.0000   7.9049   7.9049   0.5000   0.5000 
  0.0078  -1.7666  -0.1282  35.8765  58.7680   0.1929  92.4727  -0.0036   0.0000  -0.0000  58.5768  58.5768   0.5000   0.5000 
  0.0143  -1.3454  -0.1713  75.7398  84.2130  13.0944 144.5176  -0.0018   0.0000  -0.0000  68.5362  68.5362   0.5000   0.5000 
  0.0095  -1.6620   2.4029  81.1256  66.7943   8.3303 137.2608  -0.0016   0.0000  -0.0000  57.5851  57.5851   0.5000   0.5000 
  0.0057  -1.9324   1.7809  31.7435  37.8451  -2.4658  70.2873  -0.0037   0.0000  -0.0000  40.1017  40.1017   0.5000   0.5000 
  0.0050  -0.9139  -0.8446  26.0279  31.5322   6.1360  50.1938  -0.0051   0.0000  -0.0000  23.7690  23.7690   0.5000   0.5000 
  0.0064  -1.4522   0.2424  35.1147  26.0843  14.2485  46.4945   0.1123   0.0000  -0.0000   5.0481   5.0481   0.5000   0.5000 
  0.0094  -2.7351   2.8046  74.7883  86.3670  14.0125 144.8116  -0.0018   0.0000  -0.0000  69.3001  69.3001   0.5000   0.5000 
  0.0048  -1.6172   0.1324  71.6738  98.9238  11.2979 156.8657  -0.0020   0.0000  -0.0000  85.6389  85.6389   0.5000   0.5000 
  0.0019  -2.4293   0.4471  22.9164   6.5262  -3.0611  31.6228  -0.0041   0.0000  -0.0000   9.1897   9.1897   0.5000   0.5000 
  0.0152  -1.2346   2.7599  87.3437  70.8930   4.6627 151.1130  -0.0015   0.0000  -0.0000  65.9994  65.9994   0.5000   0.5000 
  0.0015   2.6107  -2.8692   4.9263  20.1099   1.8991  23.0453  -0.0496   0.0000  -0.0000  17.5882  17.5882   0.5000   0.5000 
  0.0051  -2.2712   3.0191  29.1842  46.7763  -4.0752  78.1688  -0.0038   0.0000  -0.0000  50.3021  50.3021   0.5000   0.5000 
  0.0022   1.3049  -2.8962  97.3863  56.8729  35.9048 117.3728   0.1996   0.0000  -0.0000   5.1504   5.1504   0.5000   0.5000 
  0.0044  -1.5503   1.4001  20.4511  11.4079   3.1866  28.0826  -0.0043   0.0000  -0.0000   7.7927   7.7927   0.5000   0.5000 
  0.0045   1.0180   0.7965  45.5699  44.2131  17.1832  71.3297   0.0119   0.0000  -0.0000  17.8263  17.8263   0.5000   0.5000 
  0.0028   1.2279   0.2163 173.2279 194.8744  74.7785 290.7754   0.0091   0.0000  -0.0000  65.3036  65.3036   0.5000   0.5000 
  0.0141  -1.1516   2.4553  92.6129  79.3735  10.0279 159.4815  -0.0014   0.0000  -0.0000  68.2069  68.2069   0.5000   0.5000 
  0.0098  -1.0342  -0.5157  54.1554  57.5211  12.8086  96.9933  -0.0021   0.0000  -0.0000  41.0266  41.0266   0.5000   0.5000 
  0.0074  -1.8457   2.8349  43.2388  23.6742  -1.6559  66.8980  -0.0028   0.0000  -0.0000  25.2524  25.2524   0.5000   0.5000 
  0.0010   0.9741   1.2603   3.7274   7.2870   2.4472   9.7426   0.0431   0.0000  -0.0000   4.1150   4.1150   0.5000   0.5000 
  0.0040  -2.6215   2.0300  43.2344  28.8242   9.1341  61.5757  -0.0007   0.0000  -0.0000  17.5212  17.5212   0.5000   0.5000 
  0.0115  -1.9230   2.5082  61.2638  59.9530   2.4821 116.5151  -0.0021   0.0000  -0.0000  57.3891  57.3891   0.5000   0.5000 
  0.0142  -1.3396  -0.4535  65.4361  50.7956  -5.4455 119.3778  -0.0017   0.0000  -0.0000  55.7905  55.7905   0.5000   0.5000 
  0.0027  -1.4766  -1.3553   1.3263   8.0342  -1.0635  10.8448   0.0003   0.0000  -0.0000   8.4825   8.4825   0.5000   0.5000 
  0.0045  -1.6882  -0.7859  46.0438  35.6209  13.1062  67.2160   0.0031   0.0000  -0.0000  17.8545  17.8545   0.5000   0.5000 
  0.0025  -1.8498  -2.9531  13.3274  14.4568  -2.6149  29.4641  -0.0079   0.0000  -0.0000  16.5827  16.5827   0.5000   0.5000 
  0.0125  -0.9510  -0.7423 105.0493  93.7378  28.3983 168.0543  -0.0001   0.0000  -0.0000  55.2485  55.2485   0.5000   0.5000 
  0.0034   1.5460  -0.1349 186.5616 215.4222  87.9684 311.5724   0.0205   0.0000  -0.0000  52.4659  52.4659   0.5000   0.5000 
  0.0125  -0.9906   2.4144 183.8523 119.7054  39.5024 261.2873   0.0000   0.0000  -0.0000  69.6920  69.6920   0.5000   0.5000 
  0.0082  -1.7608   0.2056  77.2921  48.0191   8.5475 114.6662  -0.0016   0.0000  -0.0000  38.4967  38.4967   0.5000   0.5000 
  0.0017  -2.1282  -0.7268  70.4133  55.3215  26.8481  97.5221   0.0355   0.0000  -0.0000  13.9059  13.9059   0.5000   0.5000 
  0.0142  -2.2477   2.6106  74.3894  96.6865  20.1329 148.6676  -0.0016   0.0000  -0.0000  69.4359  69.4359   0.5000   0.5000 
  0.0085  -1.6379  -0.0378 112.4489  99.2228  33.2829 176.0633   0.0008   0.0000  -0.0000  52.5162  52.5162   0.5000   0.5000 
  0.0030  -2.6111  -3.0312  16.0573  38.6669   0.0357  53.3237  -0.0081   0.0000  -0.0000  38.6322  38.6322   0.5000   0.5000 
  0.0021   1.4776   0.4043  13.3189  12.9586   4.4526  21.6296   0.0029   0.0000  -0.0000   6.9581   6.9581   0.5000   0.5000 
  0.0029  -2.5638   1.3147  38.0852  25.9641  10.2454  52.7277   0.0050   0.0000  -0.0000  12.4663  12.4663   0.5000   0.5000 
  0.0162  -1.8352   2.2163  50.8087  76.7135   0.5871 124.6527  -0.0025   0.0000  -0.0000  76.1255  76.1255   0.5000   0.5000 
  0.0279  -1.2006  -0.7635 120.9288 129.9431  30.3205 217.8897  -0.0008   0.0000  -0.0000  89.7978  89.7978   0.5000   0.5000 
  0.0086  -2.1408   1.9781  27.5005  48.7649  -9.0599  83.3612  -0.0034   0.0000  -0.0000  55.4977  55.4977   0.5000   0.5000 
  0.0085   0.9538   0.7604 148.9607 102.4387  37.8890 211.0194   0.0009   0.0000  -0.0000  52.0776  52.0776   0.5000   0.5000 
