# weight      mu1      mu2       k1       k2       k3 lognormc    env_K  env1_mu  env2_mu   env1_k   env2_k   env1_w   env2_w 
  0.0083  -1.5084   0.0035 113.0698 136.2962  29.5309 217.1773  -0.0010   0.0000  -0.0000  96.6693  96.6693   0.5000   0.5000 
  0.0103  -2.1032   2.7417  63.4853  72.4552  13.0657 120.7424  -0.0021   0.0000  -0.0000  56.2145  56.2145   0.5000   0.5000 
  0.0325  -1.0201  -0.7034 143.3961 103.7088  10.2042 234.0299  -0.0009   0.0000  -0.0000  92.7690  92.7690   0.5000   0.5000 
  0.0031   1.0451   0.5031 245.8758 146.8340  71.5110 318.5327   0.0054   0.0000  -0.0000  46.8872  46.8872   0.5000   0.5000 
  0.0145  -1.3898   2.4876  75.2006  52.6907  12.9034 112.9555  -0.0013   0.0000  -0.0000  37.2914  37.2914   0.5000   0.5000 
  0.0028   1.3261  -2.7816  19.0705   8.7561   2.2965  25.0697  -0.0051   0.0000  -0.0000   6.2548   6.2548   0.5000   0.5000 
  0.0150  -1.8618   2.0216  47.0896  52.7199   5.6637  92.2091  -0.0029   0.0000  -0.0000  46.3698  46.3698   0.5000   0.5000 
  0.0029  -3.1025   2.9592  44.8640  22.3103  11.5941  54.6787   0.0219   0.0000  -0.0000   7.3833   7.3833   0.5000   0.5000 
  0.0092  -1.4527  -0.7120  44.5370  54.8900   6.4190  91.1011  -0.0032   0.0000  -0.0000  47.5035  47.5035   0.5000   0.5000 
  0.0040   1.6503  -0.1326  15.2696  15.8404  -2.1562  32.2534  -0.0073   0.0000  -0.0000  17.6811  17.6811   0.5000   0.5000 
  0.0055  -1.4771   1.2693  98.3477  22.3851   5.8549 113.0687  -0.0010   0.0000  -0.0000  16.2061  16.2061   0.5000   0.5000 
  0.0067  -2.1198  -0.0866  59.5754  35.6706  15.0278  78.7766   0.0049   0.0000  -0.0000  16.0794  16.0794   0.5000   0.5000 
  0.0127  -2.5019   2.6424  57.1511  56.5996   8.4147 103.3124  -0.0024   0.0000  -0.0000  46.8538  46.8538   0.5000   0.5000 
  0.0297  -1.2004  -0.5517 118.3727  77.5187   3.2753 189.9308  -0.0011   0.0000  -0.0000  74.1656  74.1656   0.5000   0.5000 
  0.0169  -1.1309   2.2775  46.9944  90.2105   8.7825 126.2553  -0.0032   0.0000  -0.0000  79.5704  79.5704   0.5000   0.5000 
